Channel	Amplitude Error
1	3	1.732
2	7	2.646
3	5	2.236
4	3	1.732
5	2	1.414
6	6	2.449
7	10	3.162
8	7	2.646
9	6	2.449
10	3	1.732
11	5	2.236
12	5	2.236
13	10	3.162
14	14	3.742
15	19	4.359
16	24	4.899
17	27	5.196
18	34	5.831
19	49	7.000
20	51	7.141
21	65	8.062
22	71	8.426
23	77	8.775
24	80	8.944
25	80	8.944
26	82	9.055
27	77	8.775
28	70	8.367
29	59	7.681
30	58	7.616
31	44	6.633
32	35	5.916
33	24	4.899
34	18	4.243
35	11	3.317
36	15	3.873
37	14	3.742
38	10	3.162
39	4	2.000
40	6	2.449
41	2	1.414
42	8	2.828
43	2	1.414
44	8	2.828
45	7	2.646
46	9	3.000
47	10	3.162
48	8	2.828
49	7	2.646
50	1	1.000
